feature,gain,gain_norm
pm25_lag1,1517116.875,0.23509809536060422
pm25_roll_mean_6,647676.875,0.1003664267603695
pm25_lag3,364032.875,0.05641189348786652
pm25_diff_1,238360.75,0.03693727177988521
wind_speed_diff_3,211683.125,0.03280320740449262
pm25_diff_3,186922.546875,0.02896621577046644
pm25_roll_mean_12,177664.96875,0.027531626899493993
month_cos,162555.84375,0.02519026047703871
is_daytime,147075.6875,0.022791397666775952
dewp,125806.5703125,0.019495455855580462
hour_cos,122900.6484375,0.019045143352083186
pm25_diff_6,120787.984375,0.018717757040972154
pres_diff_3,117609.1953125,0.018225160019304413
pres,115971.8203125,0.017971426275889907
wind_speed_diff_1,113815.03125,0.017637202190030777
precipitation_flag,110147.2109375,0.017068823059982748
weekday,109690.75,0.016998088168834188
wind_speed,108792.96875,0.016858964634317138
pm25_lag12,102324.21875,0.015856542982152794
pm25_roll_std_24,95360.5234375,0.014777422756402012
pm25_lag48,92896.15625,0.014395535215898307
pres_diff_1,91693.53125,0.014209171955695927
pm25_lag24,85804.8046875,0.013296632901021482
precipitation,78441.953125,0.012155657932453818
humidity,74735.8515625,0.011581346596976311
pm25_roll_mean_24,73788.328125,0.011434514827363452
pm25_roll_std_168,72476.7578125,0.011231268994770453
temp_x_humidity,72324.9375,0.011207742352298823
pm25_roll_mean_168,72023.6953125,0.011161060738185532
dewp_temp_gap,69424.453125,0.010758272464103366
pm25_diff_12,64762.6328125,0.010035859382789425
is_rush_hour,64429.796875,0.009984281883215563
pm25_lag36,64043.44921875,0.009924412007909214
temp_diff_3,63700.96875,0.009871339955763375
pm25_lag6,62861.75390625,0.009741292090226335
month_sin,58537.0,0.009071112077718923
wind_speed_x_pm25_lag1,57202.60546875,0.008864329318970372
pm25_lag18,55956.34765625,0.00867120455523256
pm25_roll_std_12,55195.390625,0.008553283812509204
temp,52952.8984375,0.008205778850413067
pm25_roll_std_6,51664.578125,0.008006135924627848
temp_diff_1,44263.8359375,0.006859289283339173
hour_sin,42808.79296875,0.00663381039225442
is_weekend,34835.79296875,0.0053982845437201095
wind_dir_cos,0.0,0.0
wind_dir_sin,0.0,0.0
wind_speed_x_wind_dir_sin,0.0,0.0
is_holiday,0.0,0.0
