datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,pm25_station_count
2013-03-01 00:00:00,5.666667,7.916667,5.666667,12.6,308.333333,75.416667,-0.916667,1022.766667,-19.9,0,3.709091,12
2013-03-01 01:00:00,6.833333,9.833333,5.333333,12,308.333333,75.75,-1.216667,1023.191667,-19.916667,0,3.372727,12
2013-03-01 02:00:00,5.666667,7.25,6.375,11.909091,300,66,-1.591667,1023.325,-21.008333,0,3.554545,12
2013-03-01 03:00:00,6,9.25,5.833333,11.515152,300,66.125,-1.891667,1024.208333,-21.833333,0,3.072727,12
2013-03-01 04:00:00,4.833333,6.916667,6.75,11.893939,308.333333,66.333333,-2.283333,1024.866667,-21.625,0,2.716667,12
2013-03-01 05:00:00,5.5,6.583333,7.666667,13.545455,333.333333,70.583333,-2.766667,1025.275,-20.941667,0,2.575,12
2013-03-01 06:00:00,5.333333,7.333333,10.916667,18.454545,383.333333,68.333333,-3.266667,1026.058333,-20.108333,0,1.95,12
2013-03-01 07:00:00,4.916667,6.916667,10.833333,26.727273,416.666667,59.666667,-1.666667,1027.25,-20.283333,0,2.8,12
2013-03-01 08:00:00,4.833333,9,12.083333,33,508.333333,54.5,-0.258333,1028.025,-20.6,0,3.725,12
2013-03-01 09:00:00,6.75,12.083333,11.583333,23.363636,458.333333,64.75,0.625,1028.15,-21.3,0,3.608333,12
2013-03-01 10:00:00,6.083333,9.25,7.166667,16,383.333333,72.916667,1.633333,1027.933333,-21.333333,0,3.65,12
2013-03-01 11:00:00,4.583333,7.25,6.5,14.636364,358.333333,74.916667,2.925,1027.691667,-21.466667,0,3.75,12
2013-03-01 12:00:00,5.25,8.375,6,13.090909,341.666667,77.5,4.066667,1026.716667,-20.408333,0,3.566667,12
2013-03-01 13:00:00,6,19.25,5.916667,11.727273,358.333333,80.25,5.141667,1025.716667,-20.483333,0,3.866667,12
2013-03-01 14:00:00,7.333333,15.666667,5.916667,13.1,358.333333,81.666667,5.9,1025.441667,-20.8,0,3.491667,12
2013-03-01 15:00:00,7.25,13.75,5.25,13.5,341.666667,82.25,5.966667,1025.4,-20.191667,0,2.658333,12
2013-03-01 16:00:00,7.833333,16.666667,6.75,14.9,350,80.916667,5.55,1025.425,-19.741667,0,2.566667,12
2013-03-01 17:00:00,9.083333,19.583333,8.583333,18.5,383.333333,77.583333,4.25,1026,-19.966667,0,2.558333,12
2013-03-01 18:00:00,8.5,17.583333,10.333333,24.5,458.333333,71.166667,2.966667,1027.083333,-19.441667,0,1.733333,12
2013-03-01 19:00:00,10.166667,14.916667,11.75,34,533.333333,61.5,2.35,1027.891667,-19.25,0,1.925,12
2013-03-01 20:00:00,10.833333,16.25,12.083333,30.181818,516.666667,60,1.466667,1028.866667,-18.483333,0,1.958333,12
2013-03-01 21:00:00,12.416667,16.583333,15.583333,34.545455,541.666667,54.416667,0.883333,1029.858333,-18.15,0,1.466667,12
