datetime,city,season,pm25_city,pm_site_count,DEWP,HUMI,PRES,TEMP,wind_dir,wind_speed,precipitation,cum_precipitation
2013-03-01 00:00:00,Shanghai,1,61,1,10,76.84,1011,14,NE,2,0,0
2013-03-01 01:00:00,Shanghai,1,62,1,10,76.84,1011,14,NE,6,6.5,6.5
2013-03-01 02:00:00,Shanghai,1,74,1,12,93.65,1012,13,NE,9,0,0
2013-03-01 03:00:00,Shanghai,1,98,1,10,87.57,1012,12,NE,19,3.3,3.3
2013-03-01 04:00:00,Shanghai,1,135,1,8,93.45,1014,9,NE,29,3.7,7
2013-03-01 05:00:00,Shanghai,1,94,1,7,93.4,1015,8,NE,39,0.2,7.2
2013-03-01 06:00:00,Shanghai,1,49,3,6,87.19,1017,8,NE,50,0.1,7.3
2013-03-01 07:00:00,Shanghai,1,92.666667,3,6,93.35,1018,7,NE,59,1.1,8.4
2013-03-01 08:00:00,Shanghai,1,108,3,6,93.35,1019,7,NE,68,1.6,10
2013-03-01 09:00:00,Shanghai,1,99.333333,3,4,86.99,1021,6,NE,77,1.6,11.6
2013-03-01 10:00:00,Shanghai,1,75.333333,3,3,86.89,1022,5,NE,87,1.6,13.2
2013-03-01 11:00:00,Shanghai,1,25.666667,3,2,80.92,1023,5,NE,97,0.7,13.9
2013-03-01 12:00:00,Shanghai,1,23,3,2,80.92,1023,5,NE,107,0.1,14
2013-03-01 13:00:00,Shanghai,1,21.666667,3,1,75.32,1024,5,NE,117,0,0
2013-03-01 14:00:00,Shanghai,1,22.333333,3,0,70.06,1024,5,NE,127,0,0
2013-03-01 15:00:00,Shanghai,1,21,3,-1,65.13,1025,5,NE,137,0,0
2013-03-01 16:00:00,Shanghai,1,20,3,-1,65.13,1026,5,NE,145,0,0
2013-03-01 17:00:00,Shanghai,1,19.333333,3,-2,60.51,1026,5,NE,154,0,0
2013-03-01 18:00:00,Shanghai,1,21.666667,3,-2,64.9,1027,4,NE,162,0,0
2013-03-01 19:00:00,Shanghai,1,22,3,-2,64.9,1028,4,NE,170,0,0
2013-03-01 20:00:00,Shanghai,1,20.666667,3,-2,64.9,1029,4,NE,178,0,0
2013-03-01 21:00:00,Shanghai,1,21.666667,3,-2,69.64,1030,3,NE,186,0,0
2013-03-01 22:00:00,Shanghai,1,18.333333,3,-3,64.66,1031,3,NE,194,0.1,0.1
2013-03-01 23:00:00,Shanghai,1,18.833333,3,-3,64.66,1031,3,NE,202,0,0
2013-03-02 00:00:00,Shanghai,1,17.333333,3,-4,60,1031,3,NE,210,0,0
2013-03-02 01:00:00,Shanghai,1,16,3,-4,60,1031,3,NE,219,0,0
2013-03-02 02:00:00,Shanghai,1,15.666667,3,-3,64.66,1031,3,NE,225,0,0
2013-03-02 03:00:00,Shanghai,1,14.5,3,-4,60,1031,3,NE,232,0,0
2013-03-02 04:00:00,Shanghai,1,16,3,-4,60,1031,3,NE,239,0,0
2013-03-02 05:00:00,Shanghai,1,13.666667,3,-4,64.42,1031,2,NE,245,0,0
2013-03-02 06:00:00,Shanghai,1,14,3,-4,64.42,1032,2,NE,251,0,0
2013-03-02 07:00:00,Shanghai,1,15.333333,3,-4,60,1033,3,NE,257,0,0
2013-03-02 08:00:00,Shanghai,1,16.333333,3,-4,60,1034,3,NE,265,0,0
2013-03-02 09:00:00,Shanghai,1,20,3,-4,60,1034,3,NE,272,0,0
2013-03-02 10:00:00,Shanghai,1,21.333333,3,-3,56.18,1034,5,NE,277,0,0
2013-03-02 11:00:00,Shanghai,1,20,3,-3,56.18,1034,5,NE,283,0,0
2013-03-02 12:00:00,Shanghai,1,23,3,-3,56.18,1033,5,NE,288,0,0
2013-03-02 13:00:00,Shanghai,1,25.666667,3,-3,52.41,1032,6,NE,293,0,0
2013-03-02 14:00:00,Shanghai,1,29,3,-3,48.93,1031,7,NE,299,0,0
2013-03-02 15:00:00,Shanghai,1,29,3,-4,48.63,1031,6,NE,307,0,0
2013-03-02 16:00:00,Shanghai,1,24,3,-4,48.63,1031,6,NE,313,0,0
2013-03-02 17:00:00,Shanghai,1,27,3,-4,52.13,1031,5,NE,318,0,0
2013-03-02 18:00:00,Shanghai,1,32.333333,3,-3,56.18,1031,5,NE,323,0,0
2013-03-02 19:00:00,Shanghai,1,32.666667,3,-3,60.25,1031,4,NE,327,0,0
2013-03-02 20:00:00,Shanghai,1,29,3,-3,64.66,1032,3,NE,332,0,0
2013-03-02 21:00:00,Shanghai,1,28.666667,3,-3,64.66,1032,3,NE,338,0,0
2013-03-02 22:00:00,Shanghai,1,26.666667,3,-3,64.66,1032,3,NE,343,0,0
2013-03-02 23:00:00,Shanghai,1,26.666667,3,-4,64.42,1032,2,NE,347,0,0
2013-03-03 00:00:00,Shanghai,1,22.333333,3,-4,69.21,1031,1,NE,349,0,0
2013-03-03 01:00:00,Shanghai,1,24,3,-4,69.21,1031,1,NE,351,0,0
2013-03-03 02:00:00,Shanghai,1,22.666667,3,-3,74.59,1030,1,NW,2,0,0
2013-03-03 03:00:00,Shanghai,1,21.666667,3,-3,74.59,1030,1,NW,5,0,0
2013-03-03 04:00:00,Shanghai,1,23.333333,3,-3,74.59,1030,1,NW,8,0,0
2013-03-03 05:00:00,Shanghai,1,22.833333,3,-3,80.19,1029,0,NW,11,0,0
2013-03-03 06:00:00,Shanghai,1,28.333333,3,-3,80.19,1029,0,NW,14,0,0
2013-03-03 07:00:00,Shanghai,1,35.333333,3,-3,74.59,1029,1,NW,16,0,0
2013-03-03 08:00:00,Shanghai,1,44.333333,3,-3,64.66,1030,3,NW,19,0,0
2013-03-03 09:00:00,Shanghai,1,56.333333,3,-6,44.8,1029,5,NW,22,0,0
2013-03-03 10:00:00,Shanghai,1,68,3,-7,36.13,1029,7,NW,26,0,0
2013-03-03 11:00:00,Shanghai,1,73.333333,3,-6,39.01,1029,7,SW,4,0,0
